"timestamp","user.slice/user-99520.slice/session-3.scope::memory.current","user.slice/user-99520.slice/user@99520.service::memory.current"
"2023-02-09T08:59:00+01:00","-","-"
"2023-02-09T09:00:20+01:00","-","-"
"2023-02-09T09:01:21+01:00","-","-"
"2023-02-09T09:02:29+01:00","-","-"
"2023-02-09T09:03:07+01:00","-","-"
"2023-02-09T09:04:23+01:00","-","-"
"2023-02-09T09:05:29+01:00","-","-"
"2023-02-09T09:06:21+01:00","-","-"
"2023-02-09T09:07:23+01:00","-","-"
"2023-02-09T09:08:02+01:00",816.7,1091.4
"2023-02-09T09:09:05+01:00",848.5,4783.3
"2023-02-09T09:10:05+01:00",845.6,4351.9
"2023-02-09T09:11:04+01:00",845.7,4578.1
"2023-02-09T09:12:00+01:00",852.7,5984.6
"2023-02-09T09:13:29+01:00",834.0,5540.1
"2023-02-09T09:14:50+01:00",835.7,5591.5
"2023-02-09T09:15:02+01:00",830.2,5575.4
"2023-02-09T09:16:21+01:00",832.3,5753.6
"2023-02-09T09:17:22+01:00",834.6,6302.7
"2023-02-09T09:18:21+01:00",832.5,6814.1
"2023-02-09T09:19:29+01:00",835.0,6344.9
"2023-02-09T09:20:50+01:00",839.0,6412.8
"2023-02-09T09:21:21+01:00",837.4,6470.1
"2023-02-09T09:22:29+01:00",836.2,6633.2
"2023-02-09T09:23:29+01:00",838.5,6522.8
"2023-02-09T09:24:21+01:00",837.5,6464.7
"2023-02-09T09:25:29+01:00",836.5,6488.9
"2023-02-09T09:26:21+01:00",836.5,6469.1
"2023-02-09T09:27:20+01:00",836.5,6475.6
"2023-02-09T09:28:50+01:00",843.7,6585.4
"2023-02-09T09:29:29+01:00",836.0,6642.1
"2023-02-09T09:30:21+01:00",834.9,6683.3
"2023-02-09T09:31:21+01:00",840.4,6733.1
"2023-02-09T09:32:06+01:00",840.0,6831.1
"2023-02-09T09:33:18+01:00",835.9,6830.6
"2023-02-09T09:34:50+01:00",841.8,6794.4
"2023-02-09T09:35:25+01:00",835.3,6826.3
"2023-02-09T09:36:19+01:00",851.3,8128.2
"2023-02-09T09:37:17+01:00",859.7,8014.0
"2023-02-09T09:38:07+01:00",878.2,7781.5
"2023-02-09T09:39:02+01:00",878.4,8238.0
"2023-02-09T09:40:50+01:00",878.0,8720.7
"2023-02-09T09:41:21+01:00",878.2,8668.0
"2023-02-09T09:42:20+01:00",879.5,8641.6
"2023-02-09T09:43:01+01:00",879.3,8638.8
"2023-02-09T09:44:16+01:00",879.7,8634.2
"2023-02-09T09:45:21+01:00",879.6,8584.7
"2023-02-09T09:46:21+01:00",877.9,8593.5
"2023-02-09T09:47:19+01:00",885.8,8679.8
"2023-02-09T09:48:21+01:00",884.5,8821.9
"2023-02-09T09:49:29+01:00",880.9,9085.0
"2023-02-09T09:50:29+01:00",880.8,9090.0
"2023-02-09T09:51:21+01:00",880.9,9356.7
"2023-02-09T09:52:50+01:00",885.9,8974.5
"2023-02-09T09:53:29+01:00",883.3,9089.7
"2023-02-09T09:54:21+01:00",883.3,9172.1
"2023-02-09T09:55:29+01:00",883.3,9031.3
"2023-02-09T09:56:21+01:00",883.3,9061.6
"2023-02-09T09:57:21+01:00",888.4,10338.5
"2023-02-09T09:58:50+01:00",890.4,10368.5
"2023-02-09T09:59:29+01:00",894.9,9999.3
"2023-02-09T10:00:02+01:00",892.0,10018.0
"2023-02-09T10:01:03+01:00",892.0,9994.4
"2023-02-09T10:02:29+01:00",891.6,10001.0
"2023-02-09T10:03:20+01:00",891.6,10009.5
"2023-02-09T10:04:50+01:00",891.6,9991.0
"2023-02-09T10:05:29+01:00",892.1,9984.4
"2023-02-09T10:06:20+01:00",892.0,9989.9
"2023-02-09T10:07:29+01:00",892.0,9999.5
"2023-02-09T10:08:14+01:00",894.4,10014.4
"2023-02-09T10:09:20+01:00",891.4,10036.0
"2023-02-09T10:10:50+01:00",891.4,10041.1
"2023-02-09T10:11:21+01:00",891.4,10041.7
"2023-02-09T10:12:20+01:00",891.4,10048.3
"2023-02-09T10:13:29+01:00",891.4,10049.5
"2023-02-09T10:14:29+01:00",893.5,10120.0
"2023-02-09T10:15:21+01:00",890.1,10043.7
"2023-02-09T10:16:21+01:00",890.1,10191.9
"2023-02-09T10:17:29+01:00",890.2,10108.4
"2023-02-09T10:18:21+01:00",892.5,10120.8
