"timestamp","user.slice/user-99520.slice/user@99520.service/app.slice/app-firefox-56677d05c1114b53b946b301503537ea.scope::memory.stat::pagetables","user.slice/user-99520.slice/user@99520.service/app.slice/app-firefox-56677d05c1114b53b946b301503537ea.scope::memory.stat::file","user.slice/user-99520.slice/user@99520.service/app.slice/app-firefox-56677d05c1114b53b946b301503537ea.scope::memory.stat::shmem","user.slice/user-99520.slice/user@99520.service/app.slice/app-firefox-56677d05c1114b53b946b301503537ea.scope::memory.stat::anon","user.slice/user-99520.slice/user@99520.service/app.slice/app-firefox-56677d05c1114b53b946b301503537ea.scope::memory.stat::percpu","user.slice/user-99520.slice/user@99520.service/app.slice/app-firefox-56677d05c1114b53b946b301503537ea.scope::memory.stat::sock","user.slice/user-99520.slice/user@99520.service/app.slice/app-firefox-56677d05c1114b53b946b301503537ea.scope::memory.stat::kernel_stack"
"2023-02-09T08:59:00+01:00","-","-","-","-","-","-","-"
"2023-02-09T09:00:20+01:00","-","-","-","-","-","-","-"
"2023-02-09T09:01:21+01:00","-","-","-","-","-","-","-"
"2023-02-09T09:02:29+01:00","-","-","-","-","-","-","-"
"2023-02-09T09:03:07+01:00","-","-","-","-","-","-","-"
"2023-02-09T09:04:23+01:00","-","-","-","-","-","-","-"
"2023-02-09T09:05:29+01:00","-","-","-","-","-","-","-"
"2023-02-09T09:06:21+01:00","-","-","-","-","-","-","-"
"2023-02-09T09:07:23+01:00","-","-","-","-","-","-","-"
"2023-02-09T09:08:02+01:00","-","-","-","-","-","-","-"
"2023-02-09T09:09:05+01:00","-","-","-","-","-","-","-"
"2023-02-09T09:10:05+01:00","-","-","-","-","-","-","-"
"2023-02-09T09:11:04+01:00","-","-","-","-","-","-","-"
"2023-02-09T09:12:00+01:00","-","-","-","-","-","-","-"
"2023-02-09T09:13:29+01:00","-","-","-","-","-","-","-"
"2023-02-09T09:14:50+01:00","-","-","-","-","-","-","-"
"2023-02-09T09:15:02+01:00","-","-","-","-","-","-","-"
"2023-02-09T09:16:21+01:00","-","-","-","-","-","-","-"
"2023-02-09T09:17:22+01:00","-","-","-","-","-","-","-"
"2023-02-09T09:18:21+01:00","-","-","-","-","-","-","-"
"2023-02-09T09:19:29+01:00","-","-","-","-","-","-","-"
"2023-02-09T09:20:50+01:00","-","-","-","-","-","-","-"
"2023-02-09T09:21:21+01:00","-","-","-","-","-","-","-"
"2023-02-09T09:22:29+01:00","-","-","-","-","-","-","-"
"2023-02-09T09:23:29+01:00","-","-","-","-","-","-","-"
"2023-02-09T09:24:21+01:00","-","-","-","-","-","-","-"
"2023-02-09T09:25:29+01:00","-","-","-","-","-","-","-"
"2023-02-09T09:26:21+01:00","-","-","-","-","-","-","-"
"2023-02-09T09:27:20+01:00","-","-","-","-","-","-","-"
"2023-02-09T09:28:50+01:00","-","-","-","-","-","-","-"
"2023-02-09T09:29:29+01:00","-","-","-","-","-","-","-"
"2023-02-09T09:30:21+01:00","-","-","-","-","-","-","-"
"2023-02-09T09:31:21+01:00","-","-","-","-","-","-","-"
"2023-02-09T09:32:06+01:00","-","-","-","-","-","-","-"
"2023-02-09T09:33:18+01:00","-","-","-","-","-","-","-"
"2023-02-09T09:34:50+01:00","-","-","-","-","-","-","-"
"2023-02-09T09:35:25+01:00","-","-","-","-","-","-","-"
"2023-02-09T09:36:19+01:00","-","-","-","-","-","-","-"
"2023-02-09T09:37:17+01:00","-","-","-","-","-","-","-"
"2023-02-09T09:38:07+01:00",14.2,365.7,255.9,728.8,0.0,0.0,5.0
"2023-02-09T09:39:02+01:00",15.2,381.7,256.6,1136.4,0.0,0.0,6.0
"2023-02-09T09:40:50+01:00",19.3,431.8,305.6,1506.0,0.0,0.0,6.8
"2023-02-09T09:41:21+01:00",19.3,448.1,305.6,1492.3,0.0,0.0,6.8
"2023-02-09T09:42:20+01:00",19.3,448.2,305.6,1495.0,0.0,0.0,6.8
"2023-02-09T09:43:01+01:00",19.3,448.9,306.2,1497.8,0.0,0.0,6.7
"2023-02-09T09:44:16+01:00",19.3,449.0,306.2,1460.9,0.0,0.0,6.6
"2023-02-09T09:45:21+01:00",19.3,449.0,306.2,1448.5,0.0,0.0,6.5
"2023-02-09T09:46:21+01:00",19.3,443.0,300.2,1430.3,0.0,0.0,6.5
