"timestamp","user.slice/user-99520.slice/user@99520.service/app.slice::memory.current","user.slice/user-99520.slice/user@99520.service/background.slice::memory.current","user.slice/user-99520.slice/user@99520.service/init.scope::memory.current","user.slice/user-99520.slice/user@99520.service/session.slice::memory.current"
"2023-02-09T08:59:00+01:00","-","-","-","-"
"2023-02-09T09:00:20+01:00","-","-","-","-"
"2023-02-09T09:01:21+01:00","-","-","-","-"
"2023-02-09T09:02:29+01:00","-","-","-","-"
"2023-02-09T09:03:07+01:00","-","-","-","-"
"2023-02-09T09:04:23+01:00","-","-","-","-"
"2023-02-09T09:05:29+01:00","-","-","-","-"
"2023-02-09T09:06:21+01:00","-","-","-","-"
"2023-02-09T09:07:23+01:00","-","-","-","-"
"2023-02-09T09:08:02+01:00",1029.1,25.9,2.3,31.3
"2023-02-09T09:09:05+01:00",4545.1,26.0,2.3,31.4
"2023-02-09T09:10:05+01:00",4113.8,26.0,2.3,31.4
"2023-02-09T09:11:04+01:00",4340.4,26.0,2.4,31.4
"2023-02-09T09:12:00+01:00",5745.2,27.2,2.3,31.4
"2023-02-09T09:13:29+01:00",5300.8,27.2,2.3,31.4
"2023-02-09T09:14:50+01:00",5352.1,27.2,2.3,31.4
"2023-02-09T09:15:02+01:00",5336.1,27.2,2.3,31.4
"2023-02-09T09:16:21+01:00",5514.3,27.2,2.3,31.4
"2023-02-09T09:17:22+01:00",6063.4,27.2,2.3,31.4
"2023-02-09T09:18:21+01:00",6574.4,27.2,2.3,31.4
"2023-02-09T09:19:29+01:00",6105.2,27.2,2.3,31.4
"2023-02-09T09:20:50+01:00",6173.0,27.2,2.3,31.4
"2023-02-09T09:21:21+01:00",6230.4,27.2,2.3,31.4
"2023-02-09T09:22:29+01:00",6393.5,27.2,2.3,31.4
"2023-02-09T09:23:29+01:00",6283.1,27.2,2.3,31.4
"2023-02-09T09:24:21+01:00",6220.9,27.2,2.3,31.4
"2023-02-09T09:25:29+01:00",6245.3,27.2,2.3,31.4
"2023-02-09T09:26:21+01:00",6225.3,27.2,2.3,31.4
"2023-02-09T09:27:20+01:00",6231.8,27.2,2.3,31.4
"2023-02-09T09:28:50+01:00",6341.6,27.2,2.3,31.4
"2023-02-09T09:29:29+01:00",6398.0,27.2,2.3,31.4
"2023-02-09T09:30:21+01:00",6439.5,27.2,2.3,31.4
"2023-02-09T09:31:21+01:00",6489.3,27.2,2.3,31.4
"2023-02-09T09:32:06+01:00",6587.4,27.2,2.3,31.4
"2023-02-09T09:33:18+01:00",6587.0,27.2,2.3,31.5
"2023-02-09T09:34:50+01:00",6550.6,27.2,2.3,31.5
"2023-02-09T09:35:25+01:00",6581.7,27.4,2.9,31.5
"2023-02-09T09:36:19+01:00",6410.5,1500.9,2.4,31.5
"2023-02-09T09:37:17+01:00",6395.9,1401.4,2.4,31.5
"2023-02-09T09:38:07+01:00",6153.3,1411.3,2.5,31.5
"2023-02-09T09:39:02+01:00",6620.5,1400.7,2.5,31.6
"2023-02-09T09:40:50+01:00",7045.7,1458.2,2.5,31.6
"2023-02-09T09:41:21+01:00",7029.2,1421.9,2.5,31.6
"2023-02-09T09:42:20+01:00",7038.4,1386.2,2.5,31.6
"2023-02-09T09:43:01+01:00",7035.1,1386.8,2.5,31.6
"2023-02-09T09:44:16+01:00",7031.5,1385.8,2.5,31.6
"2023-02-09T09:45:21+01:00",6982.0,1385.8,2.5,31.6
"2023-02-09T09:46:21+01:00",6990.4,1386.2,2.5,31.6
"2023-02-09T09:47:19+01:00",6992.4,1470.5,2.5,31.6
"2023-02-09T09:48:21+01:00",7214.8,1390.2,2.5,31.6
"2023-02-09T09:49:29+01:00",7467.2,1400.8,2.5,31.6
"2023-02-09T09:50:29+01:00",7572.7,1300.4,2.5,31.6
"2023-02-09T09:51:21+01:00",7844.1,1295.7,2.5,31.6
"2023-02-09T09:52:50+01:00",7413.4,1344.2,2.5,31.6
"2023-02-09T09:53:29+01:00",7564.6,1308.1,2.5,31.6
"2023-02-09T09:54:21+01:00",7643.9,1311.3,2.5,31.6
"2023-02-09T09:55:29+01:00",7499.7,1314.7,2.5,31.6
"2023-02-09T09:56:21+01:00",7536.5,1308.2,2.5,31.6
"2023-02-09T09:57:21+01:00",8808.9,1312.5,2.5,31.6
"2023-02-09T09:58:50+01:00",8834.6,1316.9,2.5,31.6
